timestamp_ms,gpu_util,mem_util,mem_used,mem_total
87500,0,0,545062912,42949672960
87510,0,0,545062912,42949672960
87520,0,0,545062912,42949672960
87530,0,0,545062912,42949672960
87540,0,0,545062912,42949672960
87550,0,0,545062912,42949672960
87560,0,0,545062912,42949672960
87570,0,0,545062912,42949672960
87580,0,0,545062912,42949672960
87590,0,0,545062912,42949672960
87600,0,0,545062912,42949672960
87610,0,0,545062912,42949672960
87620,0,0,545062912,42949672960
87630,0,0,545062912,42949672960
87640,0,0,545062912,42949672960
87650,0,0,545062912,42949672960
87660,0,0,545062912,42949672960
87670,0,0,545062912,42949672960
87680,0,0,545062912,42949672960
87690,0,0,545062912,42949672960
87700,0,0,545062912,42949672960
87710,0,0,545062912,42949672960
87720,0,0,545062912,42949672960
87730,0,0,545062912,42949672960
87740,0,0,545062912,42949672960
87750,0,0,545062912,42949672960
87760,0,0,545062912,42949672960
87770,0,0,545062912,42949672960
87780,0,0,545062912,42949672960
87790,0,0,545062912,42949672960
87800,0,0,545062912,42949672960
87810,0,0,545062912,42949672960
87820,0,0,545062912,42949672960
87830,0,0,545062912,42949672960
87840,0,0,545062912,42949672960
87850,0,0,545062912,42949672960
87860,0,0,545062912,42949672960
87870,0,0,545062912,42949672960
87880,0,0,545062912,42949672960
87890,0,0,545062912,42949672960
87900,0,0,545062912,42949672960
87910,0,0,545062912,42949672960
87920,0,0,545062912,42949672960
87930,0,0,545062912,42949672960
87940,0,0,545062912,42949672960
87950,0,0,545062912,42949672960
87960,0,0,545062912,42949672960
87970,0,0,545062912,42949672960
87980,0,0,545062912,42949672960
87990,0,0,545062912,42949672960
88000,0,0,545062912,42949672960
88010,0,0,545062912,42949672960
88020,0,0,545062912,42949672960
88030,0,0,545062912,42949672960
88040,0,0,545062912,42949672960
88050,0,0,545062912,42949672960
88060,0,0,545062912,42949672960
88070,0,0,545062912,42949672960
88080,0,0,545062912,42949672960
88090,0,0,545062912,42949672960
88100,0,0,545062912,42949672960
88110,0,0,545062912,42949672960
88120,0,0,545062912,42949672960
88130,0,0,545062912,42949672960
88140,0,0,545062912,42949672960
88150,0,0,545062912,42949672960
88160,0,0,545062912,42949672960
88170,0,0,545062912,42949672960
88180,0,0,545062912,42949672960
88190,0,0,545062912,42949672960
88200,0,0,545062912,42949672960
88210,0,0,545062912,42949672960
88220,0,0,545062912,42949672960
88230,0,0,545062912,42949672960
88240,0,0,545062912,42949672960
88250,0,0,545062912,42949672960
88260,0,0,545062912,42949672960
88270,0,0,545062912,42949672960
88280,0,0,545062912,42949672960
88290,0,0,545062912,42949672960
88300,0,0,545062912,42949672960
88310,0,0,545062912,42949672960
88320,0,0,545062912,42949672960
88330,0,0,545062912,42949672960
88340,0,0,545062912,42949672960
88350,0,0,545062912,42949672960
88360,0,0,545062912,42949672960
88370,0,0,545062912,42949672960
88380,0,0,545062912,42949672960
88390,0,0,545062912,42949672960
88400,0,0,545062912,42949672960
88410,0,0,545062912,42949672960
88420,0,0,545062912,42949672960
88430,0,0,545062912,42949672960
88440,0,0,545062912,42949672960
88450,0,0,545062912,42949672960
88460,0,0,545062912,42949672960
88470,0,0,545062912,42949672960
88480,0,0,545062912,42949672960
88490,0,0,545062912,42949672960
88500,0,0,545062912,42949672960
88510,0,0,545062912,42949672960
88520,0,0,545062912,42949672960
88530,0,0,545062912,42949672960
88540,0,0,545062912,42949672960
88550,0,0,545062912,42949672960
88560,0,0,545062912,42949672960
88570,0,0,545062912,42949672960
88580,0,0,545062912,42949672960
88590,0,0,545062912,42949672960
88600,0,0,545062912,42949672960
88610,0,0,545062912,42949672960
88620,0,0,545062912,42949672960
88630,0,0,545062912,42949672960
88640,0,0,545062912,42949672960
88650,0,0,545062912,42949672960
88660,0,0,545062912,42949672960
88670,0,0,545062912,42949672960
88680,0,0,545062912,42949672960
88690,0,0,545062912,42949672960
88700,0,0,545062912,42949672960
88710,0,0,545062912,42949672960
88720,0,0,545062912,42949672960
88730,0,0,545062912,42949672960
88740,0,0,545062912,42949672960
88750,0,0,545062912,42949672960
88760,0,0,545062912,42949672960
88770,0,0,545062912,42949672960
88780,0,0,545062912,42949672960
88790,0,0,545062912,42949672960
88800,0,0,545062912,42949672960
88810,0,0,545062912,42949672960
88820,0,0,545062912,42949672960
88830,0,0,545062912,42949672960
88840,0,0,545062912,42949672960
88850,0,0,545062912,42949672960
88860,0,0,545062912,42949672960
88870,0,0,545062912,42949672960
88880,0,0,545062912,42949672960
88890,0,0,545062912,42949672960
88900,0,0,545062912,42949672960
88910,0,0,545062912,42949672960
88920,0,0,545062912,42949672960
88930,0,0,545062912,42949672960
88940,0,0,545062912,42949672960
88950,0,0,545062912,42949672960
88960,0,0,545062912,42949672960
88970,0,0,545062912,42949672960
88980,0,0,545062912,42949672960
88990,0,0,545062912,42949672960
89000,0,0,545062912,42949672960
89010,0,0,545062912,42949672960
89020,0,0,545062912,42949672960
89030,0,0,545062912,42949672960
89040,0,0,545062912,42949672960
89050,0,0,545062912,42949672960
89060,0,0,545062912,42949672960
89070,0,0,545062912,42949672960
89080,0,0,545062912,42949672960
89090,0,0,545062912,42949672960
89100,0,0,545062912,42949672960
89110,0,0,545062912,42949672960
89120,0,0,545062912,42949672960
89130,0,0,545062912,42949672960
89140,0,0,545062912,42949672960
89150,0,0,545062912,42949672960
89160,0,0,545062912,42949672960
89170,0,0,545062912,42949672960
89180,0,0,545062912,42949672960
89190,0,0,545062912,42949672960
89200,0,0,545062912,42949672960
89210,0,0,545062912,42949672960
89220,0,0,545062912,42949672960
89230,0,0,545062912,42949672960
89240,0,0,545062912,42949672960
89250,0,0,545062912,42949672960
89260,0,0,545062912,42949672960
89270,0,0,545062912,42949672960
89280,0,0,545062912,42949672960
89290,0,0,545062912,42949672960
89300,0,0,545062912,42949672960
89310,0,0,545062912,42949672960
89320,0,0,545062912,42949672960
89330,0,0,545062912,42949672960
89340,0,0,545062912,42949672960
89350,0,0,545062912,42949672960
89360,0,0,545062912,42949672960
89370,0,0,545062912,42949672960
89380,0,0,545062912,42949672960
89390,0,0,545062912,42949672960
89400,0,0,545062912,42949672960
89410,0,0,545062912,42949672960
89420,0,0,545062912,42949672960
89430,0,0,545062912,42949672960
89440,0,0,545062912,42949672960
89450,0,0,545062912,42949672960
89460,0,0,545062912,42949672960
89470,0,0,545062912,42949672960
89480,0,0,545062912,42949672960
89490,0,0,545062912,42949672960
89500,0,0,545062912,42949672960
89510,0,0,545062912,42949672960
89520,0,0,545062912,42949672960
