timestamp_ms,gpu_util,mem_util,mem_used,mem_total
87500,0,0,540868608,42949672960
87510,0,0,540868608,42949672960
87520,0,0,540868608,42949672960
87530,0,0,540868608,42949672960
87540,0,0,540868608,42949672960
87550,0,0,540868608,42949672960
87560,0,0,540868608,42949672960
87570,0,0,540868608,42949672960
87580,0,0,540868608,42949672960
87590,0,0,540868608,42949672960
87600,0,0,540868608,42949672960
87610,0,0,540868608,42949672960
87620,0,0,540868608,42949672960
87630,0,0,540868608,42949672960
87640,0,0,540868608,42949672960
87650,0,0,540868608,42949672960
87660,0,0,540868608,42949672960
87683,0,0,540934144,42949672960
87683,0,0,540934144,42949672960
87694,0,0,540934144,42949672960
87708,0,0,540934144,42949672960
87714,0,0,540934144,42949672960
87725,0,0,540934144,42949672960
87736,0,0,540934144,42949672960
87744,0,0,540934144,42949672960
87753,0,0,540934144,42949672960
87763,0,0,540934144,42949672960
87780,0,0,540999680,42949672960
87785,0,0,541196288,42949672960
87794,0,0,541392896,42949672960
87803,0,0,541786112,42949672960
87815,0,0,542179328,42949672960
87823,0,0,542375936,42949672960
87836,0,0,542769152,42949672960
87854,0,0,545062912,42949672960
87854,0,0,545062912,42949672960
87864,0,0,545062912,42949672960
87874,0,0,545062912,42949672960
87884,0,0,545062912,42949672960
87894,0,0,545062912,42949672960
87904,0,0,545062912,42949672960
87914,0,0,545062912,42949672960
87924,0,0,545062912,42949672960
87934,0,0,545062912,42949672960
87944,0,0,545062912,42949672960
87954,0,0,545062912,42949672960
87964,0,0,545062912,42949672960
87974,0,0,545062912,42949672960
87984,0,0,545062912,42949672960
87994,0,0,545062912,42949672960
88004,0,0,545062912,42949672960
88014,0,0,545062912,42949672960
88024,0,0,545062912,42949672960
88034,0,0,545062912,42949672960
88044,0,0,545062912,42949672960
88054,0,0,545062912,42949672960
88064,0,0,545062912,42949672960
88074,0,0,545062912,42949672960
88084,0,0,545062912,42949672960
88094,0,0,545062912,42949672960
88104,0,0,545062912,42949672960
88114,0,0,545062912,42949672960
88124,0,0,545062912,42949672960
88134,0,0,545062912,42949672960
88144,0,0,545062912,42949672960
88154,0,0,545062912,42949672960
88164,0,0,545062912,42949672960
88174,0,0,545062912,42949672960
88184,0,0,545062912,42949672960
88194,0,0,545062912,42949672960
88204,0,0,545062912,42949672960
88214,0,0,545062912,42949672960
88224,0,0,545062912,42949672960
88234,0,0,545062912,42949672960
88244,0,0,545062912,42949672960
88254,0,0,545062912,42949672960
88264,0,0,545062912,42949672960
88274,0,0,545062912,42949672960
88284,0,0,545062912,42949672960
88294,0,0,545062912,42949672960
88304,0,0,545062912,42949672960
88314,0,0,545062912,42949672960
88324,0,0,545062912,42949672960
88334,0,0,545062912,42949672960
88344,0,0,545062912,42949672960
88354,0,0,545062912,42949672960
88364,0,0,545062912,42949672960
88374,0,0,545062912,42949672960
88384,0,0,545062912,42949672960
88394,0,0,545062912,42949672960
88404,0,0,545062912,42949672960
88414,0,0,545062912,42949672960
88424,0,0,545062912,42949672960
88434,0,0,545062912,42949672960
88444,0,0,545062912,42949672960
88454,0,0,545062912,42949672960
88464,0,0,545062912,42949672960
88474,0,0,545062912,42949672960
88484,0,0,545062912,42949672960
88494,0,0,545062912,42949672960
88504,0,0,545062912,42949672960
88514,0,0,545062912,42949672960
88524,0,0,545062912,42949672960
88534,0,0,545062912,42949672960
88544,0,0,545062912,42949672960
88554,0,0,545062912,42949672960
88564,0,0,545062912,42949672960
88574,0,0,545062912,42949672960
88584,0,0,545062912,42949672960
88594,0,0,545062912,42949672960
88604,0,0,545062912,42949672960
88614,0,0,545062912,42949672960
88624,0,0,545062912,42949672960
88634,0,0,545062912,42949672960
88644,0,0,545062912,42949672960
88654,0,0,545062912,42949672960
88664,0,0,545062912,42949672960
88674,0,0,545062912,42949672960
88684,0,0,545062912,42949672960
88694,0,0,545062912,42949672960
88704,0,0,545062912,42949672960
88714,0,0,545062912,42949672960
88724,0,0,545062912,42949672960
88734,0,0,545062912,42949672960
88744,0,0,545062912,42949672960
88754,0,0,545062912,42949672960
88764,0,0,545062912,42949672960
88774,0,0,545062912,42949672960
88784,0,0,545062912,42949672960
88794,0,0,545062912,42949672960
88804,0,0,545062912,42949672960
88814,0,0,545062912,42949672960
88824,0,0,545062912,42949672960
88834,0,0,545062912,42949672960
88844,0,0,545062912,42949672960
88854,0,0,545062912,42949672960
88864,0,0,545062912,42949672960
88874,0,0,545062912,42949672960
88884,0,0,545062912,42949672960
88894,0,0,545062912,42949672960
88904,0,0,545062912,42949672960
88914,0,0,545062912,42949672960
88924,0,0,545062912,42949672960
88934,0,0,545062912,42949672960
88944,0,0,545062912,42949672960
88954,0,0,545062912,42949672960
88964,0,0,545062912,42949672960
88974,0,0,545062912,42949672960
88984,0,0,545062912,42949672960
88994,0,0,545062912,42949672960
89004,0,0,545062912,42949672960
